,nama,harga,deskripsi,berat,spesifikasi,kondisi,stok,dilihat,tertarik,terjual,rating,nama_toko,lokasi,kurir_pengiriman,tag,gambar,link
0,Canon EOS-1D X Mark III DSLR Camera - Garansi Resmi,99999999,"Original &amp; Baru 100%Bergeransi Resmi CANON DATASCRIPIndent.Harga Rp. 110.000.000Built for speed, sensitivity, and precision, the Canon EOS-1D X Mark III is a powerful DSLR designed for sports, wildlife, and other trying and dynamic imaging applications. Designed as the flagship of the EOS system, the 1D X Mark III is characterized by its refined processing capabilities and distinct speed to suit both photo and video applications. Featuring a newly designed 20.1MP full-frame CMOS sensor and updated DIGIC X image processor, this camera is capable of continuous shooting rates up to 16 fps with the optical viewfinder or 20 fps in live view, with a 1000-shot buffer when shooting raw+JPEG. Complementing this speed is an impressive native sensitivity range from ISO 100-102400, that can be expanded to ISO 50-819200, to suit working in a variety of lighting conditions. Also benefitting the speed is the EOS iTR AF X autofocus system, which uses 191 points for quickly and accurately acquiring focus. It also enables Face Tracking and Head Detection AF functions, which use Deep Learning Technology, to maintain critical focus on moving subjects. Additionally, when working in live view, Dual Pixel CMOS AF uses 3869 manually selectable points and provides a smooth, natural focusing quality akin to the way a camcorder acquires focus.Specs :ImagingLens Mount Canon EFCamera Format Full-Frame (1x Crop Factor)Pixels Actual: 21.4 MegapixelEffective: 20.1 MegapixelMaximum Resolution 5472 x 3648Aspect Ratio 3:2Sensor Type CMOSSensor Size 36 x 24 mmImage File Format JPEG, Raw, HEIFBit Depth 14-BitImage Stabilization Digital (Video Only)In the Box :Canon EOS-1D X Mark III DSLR CameraCanon LP-E19 Battery Pack (2750mAh)Canon LC-E19 Battery ChargerBattery Pack CoverCanon RF-3 Body Cap for Canon EOS CamerasL7 Wide StrapCanon Eyecup EgCanon IFC-100U Interface Cable (39.4"")Limited 1-Year Warranty",1000,"{'body_color': 'hitam', 'brand': 'Canon', 'garansi': '1-12 bulan', 'image_stabilization': '', 'megapixel': '> 20.0MP', 'memory_card_type': '', 'optical_zoom': '', 'screen_size': '', 'type': '', 'video': ''}",Baru,5,0,2,0,0.0,DJI PRO,Jakarta Pusat,"SiCepat REG, SiCepat BEST, JNE REG, Ambil Sendiri, Grab Instant, Grab Same Day, GO-SEND Same Day, GO-SEND Instant, JNE YES",,https://s4.bukalapak.com/img/43945584732/large/data.jpeg,https://www.bukalapak.com/p/kamera/kamera-digital/3idfu85-jual-canon-eos-1d-x-mark-iii-dslr-camera-garansi-resmi
1,Canon EOS-1D X Mark III DSLR Camera - Garansi Resmi,99999999,"Original &amp; Baru 100%Bergeransi Resmi CANON DATASCRIPIndent.Harga Rp. 110.000.000Built for speed, sensitivity, and precision, the Canon EOS-1D X Mark III is a powerful DSLR designed for sports, wildlife, and other trying and dynamic imaging applications. Designed as the flagship of the EOS system, the 1D X Mark III is characterized by its refined processing capabilities and distinct speed to suit both photo and video applications. Featuring a newly designed 20.1MP full-frame CMOS sensor and updated DIGIC X image processor, this camera is capable of continuous shooting rates up to 16 fps with the optical viewfinder or 20 fps in live view, with a 1000-shot buffer when shooting raw+JPEG. Complementing this speed is an impressive native sensitivity range from ISO 100-102400, that can be expanded to ISO 50-819200, to suit working in a variety of lighting conditions. Also benefitting the speed is the EOS iTR AF X autofocus system, which uses 191 points for quickly and accurately acquiring focus. It also enables Face Tracking and Head Detection AF functions, which use Deep Learning Technology, to maintain critical focus on moving subjects. Additionally, when working in live view, Dual Pixel CMOS AF uses 3869 manually selectable points and provides a smooth, natural focusing quality akin to the way a camcorder acquires focus.Specs :ImagingLens Mount Canon EFCamera Format Full-Frame (1x Crop Factor)Pixels Actual: 21.4 MegapixelEffective: 20.1 MegapixelMaximum Resolution 5472 x 3648Aspect Ratio 3:2Sensor Type CMOSSensor Size 36 x 24 mmImage File Format JPEG, Raw, HEIFBit Depth 14-BitImage Stabilization Digital (Video Only)In the Box :Canon EOS-1D X Mark III DSLR CameraCanon LP-E19 Battery Pack (2750mAh)Canon LC-E19 Battery ChargerBattery Pack CoverCanon RF-3 Body Cap for Canon EOS CamerasL7 Wide StrapCanon Eyecup EgCanon IFC-100U Interface Cable (39.4"")Limited 1-Year Warranty",1000,"{'body_color': 'hitam', 'brand': 'Canon', 'garansi': '1-12 bulan', 'image_stabilization': '', 'megapixel': '> 20.0MP', 'memory_card_type': '', 'optical_zoom': '', 'screen_size': '', 'type': '', 'video': ''}",Baru,5,0,2,0,0.0,DJI PRO,Jakarta Pusat,"SiCepat REG, SiCepat BEST, JNE REG, Ambil Sendiri, Grab Instant, Grab Same Day, GO-SEND Same Day, GO-SEND Instant, JNE YES",,https://s4.bukalapak.com/img/43945584732/large/data.jpeg,https://www.bukalapak.com/p/kamera/kamera-digital/3idfu85-jual-canon-eos-1d-x-mark-iii-dslr-camera-garansi-resmi
2,promoq Canon EOS R With RF 24-105mm Lens Mirrorless Camera EOSR - Resmi,69696000,"silahkan di pesan kak , barang di jamin kualitas terbaik (Q) Garansi Resmi 1 Tahun Datascript30.3MP Full-Frame CMOS SensorDIGIC 8 Image ProcessorUHD 4K30 Video; C-Log &amp;amp; 10-Bit HDMI OutDual Pixel CMOS AF, 5655 AF Points3.69m-Dot OLED Electronic Viewfinder3.15&amp;quot; 2.1m-Dot Swivel Touchscreen LCDExpanded ISO 50-102400, 8 fps ShootingWi-Fi and Bluetooth, SD UHS-II Card SlotMulti-Function Bar, Dual Pixel RAWRF 24-105mm f/4L IS USM Lens terima kasih telah berbelanja tidak terima return ya kak :)",2500,{'brand': 'Merk Lain'},Baru,17,0,0,0,0.0,rais zulkarnain store,Jakarta Pusat,JNE REG,,https://s1.bukalapak.com/img/14128189822/large/data.jpeg,https://www.bukalapak.com/p/kamera/lensa/3ehwsit-jual-promoq-canon-eos-r-with-rf-24-105mm-lens-mirrorless-camera-eosr-resmi
3,Canon R5 Canon EOS R5 Mirrorless Camera Body Only Garansi Resmi,64790000,"READY NOW!!CANON MIRRORLESS DIGITAL CAMERACanon EOS R5 Mirrorless Digital Camera (Body Only) Brand New In Box (BNIB)Garansi Resmi 2 Tahun PT. Datascrip (CANON ID)(Kamera ini bergaransi RESMI DATASCRIP, bukan garansi toko atau distributor!!)Pilihan Warna :BlackPWP Mount Adapter Special Price Rp 1.000.000In the Box :Canon EOS R5 Mirrorless Digital Camera (Body Only)Canon LP-E6NH Lithium-Ion Battery (7.2V, 2130mAh)Canon LC-E6 Charger for LP-E6 Battery PackCanon R-F-5 Camera CoverBattery Pack CoverStrap ER-EOSR5Canon IFC-100U Interface Cable (39.4"")IFC Cable IFC-100U ProtectorManual BookLimited 2-Year Warranty PT. DatascripKey Features :45MP Full-Frame CMOS SensorDIGIC X Image Processor8K30 Raw and 4K120 10-Bit Internal VideoSensor-Shift 5-Axis Image Stabilization12 fps Mech. Shutter, 20 fps E. ShutterDual Pixel CMOS AF II with 1053 Points0.5"" 5.76m-Dot OLED EVF3.2"" Vari-Angle Touchscreen LCDSubject Tracking with Deep LearningCFexpress &amp; SD UHS-II Memory Card SlotsFor the professional image-maker who needs resolution, speed, and video capabilities, there is the Canon EOS R5. Setting a new standard for versatility, this full-frame mirrorless camera features a newly developed 45MP CMOS sensor, which offers 8K raw video recording, 12 fps continuous shooting with a mechanical shutter, and is the first EOS camera to feature 5-axis sensor-shift image stabilization.",1500,"{'body_color': 'hitam', 'brand': 'Canon', 'garansi': '2 tahun', 'image_stabilization': 'Yes', 'megapixel': '> 20.0MP', 'memory_card_type': 'SD Card', 'optical_zoom': 'fixed focus', 'screen_size': '> 3""', 'type': 'Mirrorless ', 'video': 'Yes'}",Baru,10,0,0,0,0.0,Jepretan Indonesia,Jakarta Pusat,"JNE REG, JNE YES, SiCepat REG, SiCepat BEST, J&T REG, GO-SEND Same Day, GO-SEND Instant, Grab Instant, Grab Same Day, TIKI Reg, TIKI ONS"," Kamera Mirrorless, Kamera Sony, Kamera Canon, ",https://s1.bukalapak.com/img/12461516142/large/data.jpeg,https://www.bukalapak.com/p/kamera/kamera-digital/3l2sokz-jual-canon-r5-canon-eos-r5-mirrorless-camera-body-only-garansi-resmi
4,Canon R5 Canon EOS R5 Mirrorless Camera Body Only Garansi Resmi,64790000,"READY NOW!!CANON MIRRORLESS DIGITAL CAMERACanon EOS R5 Mirrorless Digital Camera (Body Only) Brand New In Box (BNIB)Garansi Resmi 2 Tahun PT. Datascrip (CANON ID)(Kamera ini bergaransi RESMI DATASCRIP, bukan garansi toko atau distributor!!)Pilihan Warna :BlackPWP Mount Adapter Special Price Rp 1.000.000In the Box :Canon EOS R5 Mirrorless Digital Camera (Body Only)Canon LP-E6NH Lithium-Ion Battery (7.2V, 2130mAh)Canon LC-E6 Charger for LP-E6 Battery PackCanon R-F-5 Camera CoverBattery Pack CoverStrap ER-EOSR5Canon IFC-100U Interface Cable (39.4"")IFC Cable IFC-100U ProtectorManual BookLimited 2-Year Warranty PT. DatascripKey Features :45MP Full-Frame CMOS SensorDIGIC X Image Processor8K30 Raw and 4K120 10-Bit Internal VideoSensor-Shift 5-Axis Image Stabilization12 fps Mech. Shutter, 20 fps E. ShutterDual Pixel CMOS AF II with 1053 Points0.5"" 5.76m-Dot OLED EVF3.2"" Vari-Angle Touchscreen LCDSubject Tracking with Deep LearningCFexpress &amp; SD UHS-II Memory Card SlotsFor the professional image-maker who needs resolution, speed, and video capabilities, there is the Canon EOS R5. Setting a new standard for versatility, this full-frame mirrorless camera features a newly developed 45MP CMOS sensor, which offers 8K raw video recording, 12 fps continuous shooting with a mechanical shutter, and is the first EOS camera to feature 5-axis sensor-shift image stabilization.",1500,"{'body_color': 'hitam', 'brand': 'Canon', 'garansi': '2 tahun', 'image_stabilization': 'Yes', 'megapixel': '> 20.0MP', 'memory_card_type': 'SD Card', 'optical_zoom': 'fixed focus', 'screen_size': '> 3""', 'type': 'Mirrorless ', 'video': 'Yes'}",Baru,10,0,0,0,0.0,Jepretan Indonesia,Jakarta Pusat,"JNE REG, JNE YES, SiCepat REG, SiCepat BEST, J&T REG, GO-SEND Same Day, GO-SEND Instant, Grab Instant, Grab Same Day, TIKI Reg, TIKI ONS"," Kamera Mirrorless, Kamera Sony, Kamera Canon, ",https://s1.bukalapak.com/img/12461516142/large/data.jpeg,https://www.bukalapak.com/p/kamera/kamera-digital/3l2sokz-jual-canon-r5-canon-eos-r5-mirrorless-camera-body-only-garansi-resmi
5,Canon EOS M100 with EF-M 15-45mm Lens Mirrorless Camera Garansi Resmi - Black,61300000,"Garansi Resmi 1 Tahun Datascript24.2MP APS-C CMOS SensorDIGIC 7 Image Processor3.0"" 1.04m-Dot Tilting Touchscreen LCDFull HD 1080p Video Recording at 60 fpsBuilt-In Wi-Fi with NFC, BluetoothDual Pixel CMOS AFUp to 6.1 fps Shooting and ISO 25600Creative Assist and Self Portrait ModeEF-M 15-45mm f/3.5-6.3 IS STM LensRingkas dan ringan, Kamera Digital Canon EOS M100 Mirrorless hitam membuat pendamping sehari-hari yang cocok bagi mereka yang menginginkan sistem kamera yang mudah digunakan dan berkemampuan tinggi. Dengan built-in Wi-Fi, NFC, dan Bluetooth, kamera APS-C 24.2MP memudahkan untuk berbagi bidikan dan video Anda segera setelah Anda mengambilnya. Bagi mereka yang ingin mengembangkan keterampilan fotografi mereka, kamera ini adalah titik loncatan yang bagus karena memiliki fitur Creative Assist yang dapat memandu Anda melalui bagaimana pengaturan tertentu mempengaruhi gambar Anda. Atau, jika Anda hanya ingin mengabadikan petualangan besar bersama teman-teman Anda, mode Potret Diri tersedia untuk memanfaatkan kemampuan kemiringan 180  dari LCD layar sentuh 3,0 ""1,04m-dot touchscreen.",1000,"{'body_color': 'hitam', 'brand': 'Canon', 'garansi': '1-12 bulan', 'image_stabilization': 'Yes', 'megapixel': '> 20.0MP', 'memory_card_type': 'SD Card', 'optical_zoom': '< 2x', 'screen_size': '2"" - 3""', 'type': 'Mirrorless ', 'video': 'Yes'}",Baru,2,0,0,0,0.0,Megakamera,Jakarta Pusat,"J&T REG, SiCepat REG, SiCepat BEST, JNE REG, JNE YES, GO-SEND Same Day, TIKI Reg, TIKI ONS, GO-SEND Instant, Grab Instant, Grab Same Day, SiCepat HALU",,https://s3.bukalapak.com/img/8492576076/large/Canon_EOS_M100_with_EF_M_15_45mm_Lens_Mirrorless_Camera_Gara.jpg,https://www.bukalapak.com/p/kamera/kamera-digital/18n8q6e-jual-canon-eos-m100-with-ef-m-15-45mm-lens-mirrorless-camera-garansi-resmi-black
6,Canon EOS M100 with EF-M 15-45mm Lens Mirrorless Camera Garansi Resmi - Black,61300000,"Garansi Resmi 1 Tahun Datascript24.2MP APS-C CMOS SensorDIGIC 7 Image Processor3.0"" 1.04m-Dot Tilting Touchscreen LCDFull HD 1080p Video Recording at 60 fpsBuilt-In Wi-Fi with NFC, BluetoothDual Pixel CMOS AFUp to 6.1 fps Shooting and ISO 25600Creative Assist and Self Portrait ModeEF-M 15-45mm f/3.5-6.3 IS STM LensRingkas dan ringan, Kamera Digital Canon EOS M100 Mirrorless hitam membuat pendamping sehari-hari yang cocok bagi mereka yang menginginkan sistem kamera yang mudah digunakan dan berkemampuan tinggi. Dengan built-in Wi-Fi, NFC, dan Bluetooth, kamera APS-C 24.2MP memudahkan untuk berbagi bidikan dan video Anda segera setelah Anda mengambilnya. Bagi mereka yang ingin mengembangkan keterampilan fotografi mereka, kamera ini adalah titik loncatan yang bagus karena memiliki fitur Creative Assist yang dapat memandu Anda melalui bagaimana pengaturan tertentu mempengaruhi gambar Anda. Atau, jika Anda hanya ingin mengabadikan petualangan besar bersama teman-teman Anda, mode Potret Diri tersedia untuk memanfaatkan kemampuan kemiringan 180  dari LCD layar sentuh 3,0 ""1,04m-dot touchscreen.",1000,"{'body_color': 'hitam', 'brand': 'Canon', 'garansi': '1-12 bulan', 'image_stabilization': 'Yes', 'megapixel': '> 20.0MP', 'memory_card_type': 'SD Card', 'optical_zoom': '< 2x', 'screen_size': '2"" - 3""', 'type': 'Mirrorless ', 'video': 'Yes'}",Baru,2,0,0,0,0.0,Megakamera,Jakarta Pusat,"J&T REG, SiCepat REG, SiCepat BEST, JNE REG, JNE YES, GO-SEND Same Day, TIKI Reg, TIKI ONS, GO-SEND Instant, Grab Instant, Grab Same Day, SiCepat HALU",,https://s3.bukalapak.com/img/8492576076/large/Canon_EOS_M100_with_EF_M_15_45mm_Lens_Mirrorless_Camera_Gara.jpg,https://www.bukalapak.com/p/kamera/kamera-digital/18n8q6e-jual-canon-eos-m100-with-ef-m-15-45mm-lens-mirrorless-camera-garansi-resmi-black
7,Canon EOS 5D Mark IV DSLR Camera with 24-105mm,59540000,"Product Highlights30.4MP Full-Frame CMOS SensorDIGIC 6+ Image Processor3.2"" 1.62m-Dot Touchscreen LCD MonitorDCI 4K Video at 30 fps; 8.8MP Still Grab61-Point High Density Reticular AFExpanded ISO 102400; 7 fps ShootingDual Pixel RAW; AF Area Select ButtonDual Pixel CMOS AF and Movie Servo AFBuilt-In GPS and Wi-Fi with NFCGARANSI RESMI 1 TAHUN",1500,"{'body_color': 'hitam', 'brand': 'Canon', 'garansi': '1-12 bulan', 'image_stabilization': 'Yes', 'megapixel': '> 20.0MP', 'memory_card_type': 'SD Card', 'optical_zoom': '> 7x', 'screen_size': '2"" - 3""', 'type': 'DSLR', 'video': 'Yes'}",Baru,2,0,1,1,5.0,jakarta digital shop,Jakarta Pusat,"J&T REG, JNE REG, JNE Trucking, TIKI Reg, TIKI ONS, JNE YES, SiCepat REG, SiCepat BEST, Grab Instant"," Kamera Canon, ",https://s0.bukalapak.com/img/5044108223/large/2.jpg,https://www.bukalapak.com/p/kamera/kamera-digital/mz3ycq-jual-canon-eos-5d-mark-iv-dslr-camera-with-24-105mm
8,Laris Canon EOS 5D Mark IV DSLR Camera Body Only,59149000,"SILAHKAN DI ORDER KAKHarga Normal Rp 50.140.000Garansi Resmi 1 Tahun PT.DatascripBukan Garansi Distributor atau Garansi Toko !!!Product Highlights:30.4MP Full-Frame CMOS SensorDIGIC 6+ Image Processor3.2"" 1.62m-Dot Touchscreen LCD MonitorDCI 4K Video at 30 fps; 8.8MP Still Grab61-Point High Density Reticular AFNative ISO 32000, Expanded to ISO 102400Dual Pixel RAW; AF Area Select ButtonDual Pixel CMOS AF and Movie Servo AF7 fps Shooting; CF &amp; SD Card SlotsBuilt-In GPS and Wi-Fi with NFCIn the Box:Canon EOS 5D Mark IV DSLR Camera (Body Only)LP-E6N Lithium-Ion Battery Pack (7.2V, 1865mAh)LC-E6 Charger for LP-E6 Battery PackEyecup EgRF-3 Body Cap for Canon EOS CamerasIFC-150U II USB 3.1 Gen 1 Interface Cable for DSLRsCable ProtectorWide Neck StrapSoftware CD-ROMLimited 1-Year WarrantyContinuing on in their legacy of powerful workhorse cameras, Canon has released the 5D Mark IV DSLR which is an outstanding still photography option and an able 4K-capable video machine. This multimedia maven offers a newly developed 30.4MP full-frame CMOS sensor paired with the DIGIC 6+ image processor in order to balance fine detail and resolution with low-light performance and sensitivity. It is able to work within a native range of ISO 100-32000, which can then be expanded to an impressive ISO 50-102400, for sharp, low-noise images in a variety of conditions. Along with these improvements to image quality, users will enjoy a performance boost across the board with an enhanced AF system, built-in Wi-Fi, NFC, and GPS, and much more.Whatsapp Only: Info : Item stok berjalan, mohon konfirmasi sebelum melakukan transaksi / pembelian, terima kasih.TERIMAKASIH SUDAH BERBELANJA",1500,{},Baru,100,0,0,0,0.0,rais zulkarnain store,Jakarta Pusat,JNE REG,,https://s1.bukalapak.com/img/67360984632/large/data.jpeg,https://www.bukalapak.com/p/kamera/aksesoris-kamera/aksesoris-lainnya-896/3hxaagh-jual-laris-canon-eos-5d-mark-iv-dslr-camera-body-only
9,Canon EOS 5D Mark IV/4 DSLR Camera (Body Only) - 30.4MP Full-Frame CMOS Sensor - GARANSI RESMI CANON DATA SCRIPT 1 TAHUN - Kamera,53999900,"Canon EOS 5D Mark IV/4 DSLR Camera (Body Only) - 30.4MP Full-Frame CMOS Sensor - GARANSI RESMI CANON DATA SCRIPT 1 TAHUN - KameraBARU DAN ORIGINAL 100% Highlights :30.4MP Full-Frame CMOS SensorDIGIC 6+ Image Processor3.2"" 1.62m-Dot Touchscreen LCD MonitorDCI 4K Video at 30 fps; 8.8MP Still Grab61-Point High Density Reticular AFNative ISO 32000, Expanded to ISO 102400Dual Pixel RAW; AF Area Select ButtonDual Pixel CMOS AF and Movie Servo AF7 fps Shooting; CF &amp; SD Card SlotsBuilt-In GPS and Wi-Fi with NFCWhat's In The Box :Canon EOS 5D Mark IV/4 DSLR Camera (Body Only)LP-E6N Lithium-Ion Battery Pack (7.2V, 1865mAh)LC-E6 Charger for LP-E6 Battery PackEyecup Eg RF-3 Body Cap for Canon EOS CamerasIFC-150U II USB 3.0 Interface Cable for EOS 7D Mark II DSLRCable ProtectorWide Neck StrapSoftware CD-ROMBuku2 &amp; Kartu Garansi",3000,"{'body_color': 'hitam', 'brand': 'Canon', 'garansi': '1-12 bulan', 'image_stabilization': 'Yes', 'megapixel': '> 20.0MP', 'memory_card_type': 'SD Card', 'optical_zoom': '< 2x', 'screen_size': '2"" - 3""', 'type': 'DSLR', 'video': 'Yes'}",Baru,2,0,10,0,0.0,PUSAT PHOTOGRAPHY,Bekasi,JNE REG,,https://s3.bukalapak.com/img/8420747201/large/147209711200i0_1274705_scaled_scaled.jpg,https://www.bukalapak.com/p/kamera/kamera-digital/78bsvw-jual-canon-eos-5d-mark-iv-4-dslr-camera-body-only-30-4mp-full-frame-cmos-sensor-garansi-resmi-canon-data-script-1-tahun-kamera
